Date,EEM,EFA,GLD,IWM,QQQ,SPY,TLT
2016-02-02,23.47136116027832,40.1291618347168,108.08999633789062,88.08869934082031,95.00933837890625,161.1678924560547,98.6705322265625
2016-02-03,24.13625144958496,40.4627685546875,109.25,88.20291900634766,94.55359649658203,162.13412475585938,97.85222625732422
2016-02-04,24.320499420166016,40.51466751098633,110.56999969482422,88.54550170898438,94.54429626464844,162.38839721679688,98.326416015625
2016-02-05,24.040124893188477,39.89193344116211,112.31999969482422,86.12103271484375,91.26103210449219,159.29486083984375,98.4411392211914
2016-02-08,23.71168327331543,39.15058517456055,113.83000183105469,84.70679473876953,89.86590576171875,157.15057373046875,100.55957794189453
2016-02-09,23.38324737548828,38.6983528137207,113.58000183105469,84.13581848144531,89.58688354492188,157.1590576171875,100.66658782958984
2016-02-10,23.479372024536133,38.653873443603516,114.45999908447266,84.17971801757812,89.93101501464844,157.0234375,101.55369567871094
2016-02-11,23.086851119995117,38.0904541015625,119.05999755859375,83.26615142822266,89.80078887939453,154.9808349609375,102.26496887207031
2016-02-12,23.48738670349121,38.757659912109375,118.36000061035156,84.84733581542969,91.1680679321289,158.17608642578125,100.56719207763672
2016-02-16,24.008079528808594,39.54349136352539,114.7699966430664,86.85891723632812,93.22354888916016,160.84580993652344,99.50411987304688
2016-02-17,24.4807071685791,40.22553634643555,115.4800033569336,88.22048950195312,95.33488464355469,163.47320556640625,98.89231872558594
2016-02-18,24.336519241333008,40.0179557800293,118.29000091552734,87.79884338378906,94.24666595458984,162.8036651611328,100.10828399658203
2016-02-19,24.224367141723633,39.97348403930664,117.58000183105469,88.23805236816406,94.52566528320312,162.7273712158203,100.1923828125
2016-02-22,24.825176239013672,40.42569351196289,115.48999786376953,89.22187805175781,96.06033325195312,165.0835723876953,100.13887023925781
2016-02-23,24.296464920043945,39.765892028808594,117.22000122070312,88.40495300292969,94.47919464111328,162.99859619140625,100.54425811767578
2016-02-24,24.24039077758789,39.62504196166992,117.61000061035156,89.25703430175781,95.38135528564453,163.74441528320312,100.34541320800781
2016-02-25,24.320499420166016,40.0994987487793,117.91999816894531,90.0739517211914,96.3207778930664,165.7276611328125,100.70479583740234
2016-02-26,24.080177307128906,39.99571990966797,117.11000061035156,90.64495086669922,96.19986724853516,165.34628295898438,99.73356628417969
2016-02-29,24.2884521484375,39.75848388671875,118.63999938964844,90.2408676147461,95.33488464355469,164.049560546875,100.16948699951172
2016-03-01,25.153608322143555,40.79636764526367,117.7699966430664,92.18219757080078,98.39488220214844,167.90585327148438,98.40565490722656
2016-03-02,25.49006462097168,41.07808303833008,118.68000030517578,93.13089752197266,98.43209838867188,168.66012573242188,98.81181335449219
2016-03-03,25.7784481048584,41.47840881347656,120.7300033569336,94.10596466064453,98.2460708618164,169.32122802734375,99.17189025878906
2016-03-04,26.2911319732666,41.78236389160156,120.54000091552734,94.62422943115234,98.28327178955078,169.87210083007812,98.53591918945312
2016-03-07,26.25107765197754,41.730472564697266,121.13999938964844,95.65196990966797,97.67870330810547,170.00772094726562,98.5052490234375
2016-03-08,25.802480697631836,41.322731018066406,120.58000183105469,93.34172058105469,96.86954498291016,168.1516571044922,99.59329986572266
2016-03-09,25.962692260742188,41.47840881347656,119.58000183105469,93.81608581542969,97.49269104003906,168.98220825195312,98.98800659179688
